TID,Items
937873809924107_938170056561149,
937873809924107_938166169894871,"post_message,num_reactions,num_comments,num_shares,num_likes,"
937873809924107_921913808186774,
937873809924107_910660202645468,"num_shares,"
937873809924107_870235446687944,
937873809924107_869642696747219,"num_shares,"
937873809924107_866296530415169,
937873809924107_866131713764984,"num_shares,"
937873809924107_864730240571798,
937873809924107_864730050571817,
937873809924107_864567370588085,"num_shares,"
937873809924107_864038903974265,
937873809924107_863564800688342,"num_shares,"
937873809924107_857989217912567,"num_shares,"
937873809924107_857119577999531,
937873809924107_855725471472275,
937873809924107_855721458139343,"num_reactions,num_shares,num_likes,"
937873809924107_854964764881679,
937873809924107_850737031971119,"num_shares,"
937873809924107_842509712793851,"num_shares,"
937873809924107_842096002835222,"num_shares,"
937873809924107_841877932857029,"num_shares,"
937873809924107_841877069523782,
937873809924107_841865859524903,"num_shares,"
937873809924107_841219646256191,
937873809924107_841210862923736,"num_shares,"
937873809924107_841202989591190,"num_shares,"
937873809924107_840583772986445,"num_reactions,num_shares,num_likes,"
937873809924107_840021773042645,
937873809924107_822047231506766,"post_message,"
937873809924107_770250573353099,
937873809924107_767810053597151,
937873809924107_734120176966139,
937873809924107_731055090605981,
937873809924107_725689817809175,
937873809924107_718424018535755,
937873809924107_718421078536049,
937873809924107_718420021869488,
937873809924107_718419561869534,"num_shares,"
937873809924107_718418091869681,"num_shares,"
937873809924107_718417581869732,
937873809924107_718417261869764,
937873809924107_718417091869781,
937873809924107_688976624813828,"post_message,num_comments,"
937873809924107_664867080558116,
937873809924107_552074188504073,
937873809924107_550457121999113,"num_shares,"
937873809924107_547744788937013,"num_shares,"
937873809924107_544025402642285,"post_message,"
937873809924107_528957860815706,
937873809924107_528937790817713,
937873809924107_528580954186730,
937873809924107_526083714436454,"num_shares,"
937873809924107_525674801144012,
937873809924107_524218727956286,
937873809924107_517635761947916,
937873809924107_515862728791886,
937873809924107_510730605971765,
937873809924107_506665143044978,"post_message,num_comments,"
937873809924107_504445589933600,
937873809924107_504441313267361,
937873809924107_502439170134242,
937873809924107_502438300134329,
937873809924107_496432067401619,"post_message,"
937873809924107_496162884095204,"post_message,num_comments,"
937873809924107_492603577784468,"post_message,"
937873809924107_492599797784846,"post_message,"
937873809924107_490300228014803,"num_comments,"
937873809924107_489272074784285,"post_message,"
937873809924107_488540614857431,
937873809924107_485246078520218,
937873809924107_484482085263284,
937873809924107_484470721931087,
937873809924107_484467088598117,
937873809924107_483568818687944,"post_message,num_comments,"
937873809924107_482800978764728,
937873809924107_481192295592263,
937873809924107_480673772310782,
937873809924107_479075915803901,
937873809924107_479074979137328,
937873809924107_478832829161543,"post_message,"
937873809924107_477506699294156,
937873809924107_477504549294371,"post_message,"
937873809924107_477255149319311,
937873809924107_477253319319494,
937873809924107_476663142711845,
937873809924107_476606522717507,"post_message,num_reactions,num_shares,num_likes,"
937873809924107_476606202717539,
937873809924107_476123999432426,
937873809924107_475983079446518,
937873809924107_475117556199737,"post_message,num_reactions,num_likes,"
937873809924107_474674499577376,
937873809924107_474674409577385,
937873809924107_474635379581288,"post_message,"
937873809924107_472870069757819,"num_comments,"
937873809924107_472458086465684,"post_message,"
937873809924107_469005953477564,
937873809924107_468987573479402,"num_comments,"
937873809924107_467454776966015,
937873809924107_467026480342178,
